titre,réalisateur(s),année_de_production,groupe_de_nationalité2,année_de_dernière_diffusion,nb._de_diffusions,dont_en_première_partie_de_soirée,nb._moyen_de_diffusions_par_an
BOSSU - PHILIPPE DE BROCA - (LE),DE BROCA Philippe,1997,FRANCE,2024,32,19,1.3333333333333333
HISTOIRE SANS FIN (L'),PETERSEN Wolfgang,1984,ALLEMAGNE,2024,31,18,0.9117647058823529
QUELQUES MESSIEURS TROP TRANQUILLES,LAUTNER Georges,1972,FRANCE,2019,31,14,0.6595744680851063
DEUX HOMMES DANS LA VILLE,GIOVANNI José,1973,FRANCE / ITALIE,2020,31,13,0.7209302325581395
ALI BABA ET LES 40 VOLEURS,BECKER Jacques,1954,FRANCE,2022,31,11,0.4696969696969697
MAMAN J AI RATE L AVION,COLUMBUS Chris,1990,ETATS UNIS,2024,31,16,1.0333333333333334
TINTIN ET LES ORANGES BLEUES,CONDROYER Philippe,1964,FRANCE / ESPAGNE,2019,31,16,0.5961538461538461
PRETTY WOMAN,MARSHALL Garry,1990,ETATS UNIS,2024,31,23,1.0333333333333334
BALLADE DES DALTON (LA),GOSCINNY René,1977,FRANCE,2024,31,12,0.7560975609756098
CAGE AUX FOLLES (LA),MOLINARO Edouard,1978,ITALIE / FRANCE,2019,31,16,0.8378378378378378
TOTALE (LA),ZIDI Claude,1991,FRANCE,2023,31,22,1.0333333333333334
ARME FATALE III (L'),DONNER Richard,1992,ETATS UNIS,2024,31,19,1.0689655172413792
TAXI 2,KRAWCZYK Gérard,1999,FRANCE,2023,31,20,1.4090909090909092
"I, ROBOT",PROYAS Alex,2004,ETATS UNIS,2023,31,20,1.9375
SLUMDOG MILLIONAIRE,BOYLE Danny,2008,GRANDE BRETAGNE,2024,31,19,2.5833333333333335
ON NE CHOISIT PAS SA FAMILLE,CLAVIER Christian,2011,FRANCE,2024,31,9,3.1
OSS 117 LE CAIRE NID D ESPIONS,HAZANAVICIUS Michel,2005,FRANCE,2024,31,18,2.066666666666667
FABULEUX DESTIN D AMELIE POULAIN (LE),JEUNET Jean-Pierre,2000,FRANCE / ALLEMAGNE,2024,31,22,1.4761904761904763
T4XI,KRAWCZYK Gérard,2006,France,2024,31,15,2.066666666666667
PLUS BEAU METIER DU MONDE (LE),LAUZIER Gérard,1996,FRANCE,2023,31,22,1.24
MRS DOUBTFIRE,COLUMBUS Chris,1993,ETATS UNIS,2024,31,19,1.1923076923076923
ALIVE,BERTHE Frederic,2003,FRANCE / BELGIQUE,2024,31,4,1.9375
LIGNE VERTE (LA),DARABONT Franck,2000,ETATS UNIS,2024,31,21,1.4761904761904763
DERNIER EMPEREUR (LE),BERTOLUCCI Bernardo,1987,ITALIE,2024,30,19,0.8823529411764706
SOLITAIRE (LE),DERAY Jacques,1986,FRANCE,2024,30,21,0.8823529411764706
GENDARME EN BALADE (LE),GIRAULT Jean,1970,FRANCE,2024,30,20,0.625
MAIGRET TEND UN PIEGE,DELANNOY Jean,1957,FRANCE / ITALIE,2024,30,9,0.5084745762711864
RETOUR VERS LE FUTUR III,ZEMECKIS Robert,1990,ETATS UNIS,2024,30,20,1.0
VACHE ET LE PRISONNIER (LA),VERNEUIL Henri,1959,FRANCE / Italie,2023,30,13,0.5769230769230769
FAITES SAUTER LA BANQUE,GIRAULT Jean,1963,FRANCE,2024,30,16,0.5660377358490566
SOLEIL ROUGE,YOUNG Terence,1971,FRANCE,2024,30,16,0.6382978723404256
MELODIE EN SOUS SOL,VERNEUIL Henri,1962,FRANCE / ITALIE,2024,30,10,0.5882352941176471
MORT SUR LE NIL,GUILLERMIN John,1978,GRANDE BRETAGNE,2021,30,17,0.7142857142857143
THE GOONIES,DONNER Richard,1985,ETATS UNIS,2024,30,17,0.8823529411764706
SAMOURAI (LE),MELVILLE Jean-Pierre,1967,FRANCE / ITALIE,2024,30,8,0.5660377358490566
TU PEUX GARDER UN SECRET,ARCADY Alexandre,2007,France,2024,30,7,2.3076923076923075
JOHNNY ENGLISH,HOWITT Peter,2003,GRANDE BRETAGNE,2024,30,17,1.6666666666666667
STALINGRAD - JEAN-JACQUES ANNAUD -,ANNAUD Jean-Jacques,2001,ALLEMAGNE,2024,30,20,1.5
RANDONNEURS (LES),HAREL Philippe,1996,FRANCE,2024,30,20,1.2
CODE MERCURY,BECKER Harold,1998,ETATS UNIS,2024,30,20,1.3043478260869565
