titre,réalisateur(s),année_de_production,groupe_de_nationalité2,année_de_dernière_diffusion,nb._de_diffusions,dont_en_première_partie_de_soirée,nb._moyen_de_diffusions_par_an
PIRATES DES CARAIBES LA MALEDICTION DU B,VERBINSKI Gore,2003,ETATS UNIS,2022,21,11,2.1
RETOUR VERS LE FUTUR II,ZEMECKIS Robert,1989,ETATS UNIS,2024,21,11,2.1
PODIUM,MOIX Yann,2003,FRANCE / BELGIQUE,2024,21,13,2.1
OSS 117 LE CAIRE NID D ESPIONS,HAZANAVICIUS Michel,2005,FRANCE,2024,21,11,2.1
SHERLOCK HOLMES JEU D OMBRES,RITCHIE Guy,2010,GRANDE BRETAGNE,2024,20,14,2.0
SANS ISSUE - MABROUK EL MECHRI -,EL MECHRI Mabrouk,2010,ETATS UNIS,2024,20,12,2.0
KAIRA (LES),GASTAMBIDE Franck,2011,FRANCE,2021,20,14,2.0
JOSEPHINE,OBADIA Agnès,2012,FRANCE,2024,20,12,2.2222222222222223
JUPITER LE DESTIN DE L UNIVERS,WACHOWSKI Andy,2013,GRANDE BRETAGNE,2024,20,12,2.5
NIKITA,BESSON Luc,1989,FRANCE,2021,20,12,2.0
CANONS DE NAVARONE (LES),LEE THOMPSON Jack,1960,GRANDE BRETAGNE,2023,20,9,2.0
GRAND BLEU (LE),BESSON Luc,1987,FRANCE,2023,20,15,2.0
SEUL AU MONDE,ZEMECKIS Robert,2000,ETATS UNIS,2023,20,11,2.0
BRICE DE NICE,HUTH James,2004,FRANCE,2024,20,13,2.0
TOUR MONTPARNASSE INFERNALE (LA),NEMES Charles,2000,FRANCE,2024,20,14,2.0
TRANSPORTEUR 3 (LE),MEGATON Olivier,2008,FRANCE,2024,20,12,2.0
7 ANS DE MARIAGE...,BOURDON Didier,2003,FRANCE,2024,20,13,2.0
DIABLE S HABILLE EN PRADA (LE),FRANKEL David,2006,ETATS UNIS,2024,20,12,2.0
FAST AND FURIOUS 4,LIN Justin,2008,ETATS UNIS,2024,20,10,2.0
PIRATES DES CARAIBES JUSQU AU BOUT DU MO,VERBINSKI Gore,2007,ETATS UNIS,2023,20,9,2.0
PEARL HARBOR,BAY Michael,2001,ETATS UNIS,2024,20,13,2.0
CHOUCHOU,ALLOUACHE Merzak,2002,FRANCE,2024,20,12,2.0
AUBERGE ESPAGNOLE (L'),KLAPISCH Cédric,2001,FRANCE / ESPAGNE,2024,20,12,2.0
NEUILLY SA MERE,JULIEN-LAFERRIERE Gabriel,2008,FRANCE,2024,20,10,2.0
VENGEANCE DANS LA PEAU (LA),GREENGRASS Paul,2006,GRANDE BRETAGNE,2024,20,10,2.0
FATAL,YOUN Michaël,2009,CANADA  / FRANCE,2024,19,11,1.9
TRANSFORMERS : L'ÂGE DE L'EXTINCTION,BAY Michael,2013,ETATS UNIS,2023,19,11,2.111111111111111
PRINCE OF PERSIA LES SABLES DU TEMPS,NEWELL Mike,2008,GRANDE BRETAGNE / ETATS UNIS,2024,19,12,1.9
PARLEZ MOI DE VOUS,PINAUD Pierre,2010,FRANCE,2023,19,4,1.9
MONSIEUR PAPA,MERAD Kad,2010,FRANCE,2022,19,13,1.9
PARKER,HACKFORD Taylor,2011,ETATS UNIS,2024,19,12,2.111111111111111
CASE DEPART,EBOUE Fabrice,2010,FRANCE,2023,19,12,1.9
COLOMBIANA,MEGATON Olivier,2010,FRANCE,2024,19,13,1.9
DIABOLO MENTHE,KURYS Diane,1977,FRANCE,2024,19,10,1.9
FANTOMAS CONTRE SCOTLAND YARD,HUNEBELLE André,1966,FRANCE / ITALIE,2024,19,12,1.9
CARTOUCHE,DE BROCA Philippe,1961,FRANCE / Italie,2024,19,7,1.9
IL ETAIT UNE FOIS DANS L OUEST,LEONE Sergio,1969,ITALIE,2024,19,14,1.9
RAMBO III,MacDONALD Peter,1988,ETATS UNIS,2024,19,10,1.9
NE LE DIS A PERSONNE,CANET Guillaume,2005,FRANCE,2024,19,12,2.111111111111111
ROBIN DES BOIS PRINCE DES VOLEURS,REYNOLDS Kevin,1990,GRANDE BRETAGNE,2024,19,9,1.9
TOUR DU MONDE EN 80 JOURS (LE),CORACI Frank,2004,GRANDE BRETAGNE,2022,19,13,1.9
BAD BOYS FLICS DE CHOCS,BAY Michael,1994,ETATS UNIS,2024,19,8,1.9
TOTALE (LA),ZIDI Claude,1991,FRANCE,2023,19,12,1.9
ANGES GARDIENS (LES),POIRE Jean-Marie,1994,FRANCE,2023,19,10,1.9
COYOTE GIRLS,MacNALLY David,2000,ETATS UNIS,2024,19,13,1.9
INDEPENDENCE DAY,EMMERICH Roland,1996,ETATS UNIS,2024,19,12,1.9
LARA CROFT TOMB RAIDER LE BERCEAU DE LA,DE BONT Jan,2002,ETATS UNIS,2024,19,10,1.9
MEMOIRE DANS LA PEAU (LA),LIMAN Doug,2001,ETATS UNIS,2024,19,10,1.9
SALSA,BUNUEL Joyce,1999,FRANCE / ESPAGNE,2024,19,0,3.1666666666666665
X-MEN,SINGER Bryan,2000,ETATS UNIS,2021,19,9,1.9
ARMAGEDDON,BAY Michael,1998,ETATS UNIS,2024,19,13,1.9
SISTER ACT,ARDOLINO Emile,1992,ETATS UNIS,2024,19,9,1.9
DIE HARD 4 - RETOUR EN ENFER,WISEMAN Len,2006,ETATS UNIS,2024,19,11,2.111111111111111
HOOK,SPIELBERG Steven,1991,ETATS UNIS,2024,19,9,1.9
SHREK,ADAMSON Andrew,2001,ETATS UNIS,2024,19,7,1.9
DE L AUTRE COTE DU LIT,POUZADOUX Pascale,2008,FRANCE,2024,18,11,1.8
BABYSITTING,BENAMOU Nicolas,2013,FRANCE,2023,18,10,2.0
HOTEL TRANSYLVANIE,TARTAKOVSKY Genndy,2009,ETATS UNIS,2024,18,9,1.8
HOMEFRONT,FLEDER Gary,2012,ETATS UNIS,2024,18,11,2.0
DE L AUTRE COTE DU PERIPH,CHARHON David,2011,FRANCE,2024,18,12,1.8
JOHNNY ENGLISH LE RETOUR,PARKER Oliver,2011,GRANDE BRETAGNE,2024,18,9,1.8
MOI MOCHE ET MECHANT 2,RENAUD Chris,2012,ETATS UNIS,2024,18,9,1.8
HUNGER GAMES,ROSS Gary,2011,ETATS UNIS,2023,18,10,1.8
PARIS A TOUT PRIX,KHERICI Reem,2012,FRANCE,2024,18,12,2.0
LARGO WINCH II,SALLE Jerome,2010,FRANCE / BELGIQUE,2024,18,14,2.0
KIRIKOU ET LES HOMMES ET LES FEMMES,OCELOT Michel,2011,FRANCE,2021,18,9,1.8
VACANCES DU PETIT NICOLAS (LES),TIRARD Laurent,2013,FRANCE,2024,18,8,2.25
MEN IN BLACK 3,SONNENFELD Barry,2010,ETATS UNIS,2024,18,11,1.8
BELLE ET SEBASTIEN - NICOLAS VANIER -,VANIER Nicolas,2012,FRANCE,2023,18,11,1.8
ON L APPELLE TRINITA,CLUCHER E. B.,1971,ITALIE / FRANCE,2023,18,8,1.8
GLOIRE DE MON PERE (LA),ROBERT Yves,1989,FRANCE,2024,18,10,1.8
CHATEAU DE MA MERE (LE),ROBERT Yves,1989,FRANCE,2024,18,8,1.8
PACHA (LE),LAUTNER Georges,1967,FRANCE,2024,18,13,1.8
TOP GUN,SCOTT Tony,1986,ETATS UNIS,2024,18,11,1.8
FANTOMAS,HUNEBELLE André,1964,FRANCE / ITALIE,2023,18,11,1.8
MAITRE D ECOLE (LE),BERRI Claude,1981,FRANCE,2023,18,12,2.0
ARME FATALE II (L'),DONNER Richard,1989,ETATS UNIS,2024,18,9,1.8
HIBERNATUS,MOLINARO Edouard,1969,FRANCE / ITALIE,2024,18,9,1.8
MAGNIFIQUE (LE),DE BROCA Philippe,1973,FRANCE,2024,18,8,2.0
ARME FATALE (L'),DONNER Richard,1987,ETATS UNIS,2024,18,7,1.8
